a-u-ma tryakṣaraṃ saṃkhyaṃ | JñS_26.11s-c
alambuṣā kuhūś caiva | VpT_38s-a
aliṅgaṃ cintayen nityaṃ | VpT_59s-c
avikāradharmitvaṃ tu | JñS_11.05s-c
avijñeyātidurgrāhyaṃ | JñS_08.01s-c
avyaktaṃ puruṣaṃ viduḥ | MJ_80s-b
avyayaṃ paripūrṇaṃ ca | JñS_08.05s-a
avyayaṃ paripūrṇatvād | VpT_10s-a
aśaraṇasya sa bhrātā | VpT_13s-a
aṣṭatiṃśati vibhāgāḥ | JñS_12.27s-d
aṣṭaśaktisamupeta | JñS_11.14s-a
asadbhāva vivarjitam | VpT_48s-b
astainyam iti pañcaite | VpT_60s-c
ahaṅkāraḥ śivaḥ proktaḥ | JñS_26.13s-c
ahaṅkāraḥ santālakam | JñS_24.08s-b
ahaṅkāras tathā rudraḥ | MJ_72s-c
ahaṅkārākhyanirgatāḥ | VpT_36s-d
ahaṅkāro mano buddhiḥ | JñS_26.16s-c
ahiṃsā brahmacaryañ ca | VpT_60s-a
aho māyāvimohitaḥ | JñS_27.05s-d
ākarṣanī karmaṇī vā | JñS_11.17s-a
ākāśa iva tadrūpam | VpT_58s-a
ākāśaṃ bhasmasaṃyuktaṃ | JñS_25.16s-a
ākāśaḥ santataṃ dhruvaṃ | VpT_58s-b
ākāśam iva ākāśaṃ | JñS_25.02s-c
ākāśam iva nirmalam | JñS_25.03s-d
ākāśamaṇḍalaṃ prāpya | MJ_38s-a
ākāśe jāyate puṣpaṃ | MJ_09s-a
ākāśo buddhikā manaḥ | VpT_62s-c
āgninā malaśuddhaṃ ca | MJ_38s-c
ācāryyakṛtopadeśa | MJ_77s-a
ātmajñānaṃ tu vijñāya | MJ_12s-c
ātmatrayam iti smṛta | JñS_14.01s-b
ātmatrayam iti smṛtam | GpT_02s-b
ātmanaṃ ca ravis tathā | GpT_29s-b
ātmanaṃ ca ravis tathā | JñS_18.02s-b
ātmanaḥ prakṛtis tathā | JñS_18.01s-b
ātmanaḥ svayam utpānnaṃ | JñS_16.03s-a
ātmanah prakṛtis tataḥ | GpT_28s-b
ātmanā tu hatvā sarvva | MJ_08s-c
ātmani svayam utpannaṃ | MJ_22s-a
ātmane svayam utpannaṃ | GpT_12s-a
ātmanaiva kṛtaṃ rūpaṃ | VpT_71s-a
ātmaliṅgaṃ na tatsamam | JñS_16.04s-b
*ātmaliṅgaṃ procyate budhaiḥ | GpT_12s-d
ātmaliṅgaṃ viśiṣyate | GpT_13s-d
ātmaliṅgaṃ viśiṣyate | JñS_16.04s-d
ātmaliṅgaṃ viśiṣyate | MJ_23s-d
ātmaliṅgavimohitaḥ | JñS_16.08s-b
ātmaliṅgān na tatsamam | MJ_24s-d
ātmaliṅgān na tatsamam | GpT_13s-b
ātmaliṅgān na tatsamam | GpT_14s-b
ātmaliṅgān na tatsamam | MJ_23s-b
ātmaliṅge vimohitāḥ | GpT_17s-b
ātmaliṅge śivaḥ sthitaḥ | MJ_86s-c
ātmaliṅge sa mohitāḥ | MJ_28s-b
ātmaliṇgaṃ na tatsamam | JñS_16.05s-b
ātmavat paraṃ kaivalyaṃ | MJ_45s-c
ātmā caiva parātmā ca | JñS_13.02s-a
ātmā caivāntarātmā ca | JñS_10.04s-a
ātmā caivāntarātmā ca | MJ_68s-a
ātmā dṛṣṭas tu saptadhā | JñS_12.09s-d
ātmā brahmā ca nābhiṣṭho | JñS_10.10s-a
ātmā viṣṇur iti jñeyaḥ | MJ_69s-a
ādikālaprasādākhyaḥ | JñS_09.07s-c
ādimadhyāvasānakam | JñS_19.02s-d
ādimadhyāvasānakam | GpT_41s-d
ādhyātmikam āha prabhuḥ | JñS_10.03s-d
ārjavatvam asaktatvaṃ | VpT_17s-a
ālasyaṃ bhīrutā tandrā | VpT_19s-a
āsīj jñānatrayaṃ jāgrat | JñS_20.02s-a
āsīt tasmāt vilāśeva | VpT_70s-a
āsīd niṣkalavinduṣṭho | JñS_12.14s-a
*āhavaniyaṃ ca hṛdaye | JñS_25.09s-b
āhlādanī pradānākhyā | JñS_11.16s-a
ikāraś ca akāraś ca | JñS_12.08s-a
ikārākṣaravinduvān | JñS_12.17s-d
ikāro vāmapādake | JñS_26.08s-b
iḍā tu piṅgalā caiva | VpT_37s-a
iti devavido viduḥ | MJ_82s-d
iti saptāgni procyate | VpT_63s-d
ity ucyate manīṣibhiḥ | GpT_36s-d
ity etac cittalakṣaṇam | VpT_15s-d
ity etat kramalakṣaṇam | GpT_27s-d
ity etad ukāraḥ smṛtaḥ | JñS_11.13s-b
ity etad udānaḥ smṛtaḥ | JñS_12.18s-d
ity etad tattvalakṣaṇam | JñS_17.03s-d
ity ete saptadevatā | JñS_10.05s-d
ity ete saptadhā smṛtāḥ | JñS_10.07s-d
ity ete saptadhā smṛtāḥ | JñS_10.08s-d
idaṃ bhedajñānaṃ proktaṃ | GpT_40s-a
idaṃ bhedajñānaṃ proktaṃ | JñS_19.01s-a
*indradhanur yathā | JñS_21.02s-b
indriyāṇīndriyārthebhyo | GpT_04s-a
indriyāṇīndriyārthebhyo | JñS_15.02s-a
indriyāṇīndriyārthebhyo | VpT_54s-a
indriyāyogamārgataḥ | VpT_52s-b
indhikā dīptikā caiva | JñS_12.03s-c
iśānas tu makāro 'bhūd | GpT_32s-a
iśānas tu makāro 'bhūd | JñS_18.05s-a
ihatra ca paratra ca | VpT_03s-d
ihatra ca mahadevi | JñS_27.06s-e
īśasārathisaṃyuktaṃ | TJ_27s-c
īśasārathisaṃyuktaṃ | VpT_34s-c
īśitvaṃ nāmehocyate | VpT_72s-d
īśvaraḥ padmanāle vai | MJ_34s-c
īśvaraḥ paramātmā ca | JñS_10.12s-a
īśvaraḥ sārathir jñeyo | MJ_16s-c
īśvaratvaṃ kuśalatvaṃ | VpT_17s-c
īśvaraś cādhidevatā | JñS_12.20s-d
īśvaro vā tathā pitā | MJ_82s-b
ukaroccārayed budhaḥ | JñS_25.20s-b
ukāraḥ paṇḍitaiḥ sadā | JñS_18.04s-d
ukāraḥ paṇḍitair mataḥ | GpT_31s-d
ukāraḥ svapna eva ca | MJ_70s-b
ukāram ca daśamātram | JñS_11.01s-b
ukāraś caiva jāyate | JñS_18.07s-d
ukāraś caiva jāyate | GpT_34s-d
ukārākṣaro mūrtimān | JñS_10.11s-d
ukāre līyate 'kāro | GpT_39s-a
ukāre līyate 'kāro | JñS_18.12s-a
ukāro 'kārād bhāvitum | JñS_18.10s-b
ukāro 'kārāditaḥ | GpT_37s-b
ukāro 'dhaś ca tadyogam | GpT_32s-c
ukāro 'dhaś ca tadyogam | JñS_18.05s-c
ukāro daśamātrokto | JñS_11.07s-a
ukāro līyate 'kāre | JñS_03.01s-a
ukāro viṣṇudevataḥ | JñS_11.12s-d
ukāro viṣṇur vāmake | JñS_26.12s-b
uṅkārākṣaravinduṣṭhaḥ | JñS_12.29s-c
uṅkārākṣaravinduṣṭho | JñS_12.16s-a
uṃkāre vāyuṃ saṃnyaset | GpT_54s-d
uttaraṃ jāgrad ucyate | MJ_30s-d
utpattir iti gadyate | JñS_26.14s-d
*utpattisthitipralīnakaḥ | JñS_26.13s-d
utpattyartham idaṃ mantraṃ | GpT_37s-c
utpattyartham idaṃ mantraṃ | JñS_18.10s-c
utpādako na sādhakaḥ | VpT_12s-a
udare tu gūḍho 'pānas | JñS_12.21s-a
udānabyāna eva tu | JñS_13.01s-d
udāno nāma mārutaḥ | VpT_44s-b
udāno byāna eva ca | JñS_12.07s-b
udāno mastake jñeyaḥ | JñS_12.17s-a
udāno mastake jñeyo | VpT_41s-c
udāno vyāna eva ca | VpT_39s-d
udgāre nāga ity uktaḥ | VpT_46s-a
udvejayati marmāṇi | VpT_44s-a
upadeśo nigadyate | JñS_08.07s-d
upadeśo nigadyate | MJ_54s-d
upadeśo nigadyate | MJ_84s-d
ūtaṃ vyāptam iti protaṃ | VpT_14s-c
ūtaprotañ ca gadidaṃ | VpT_14s-a
ūrddhvātyūrddhvātiśūnyakam | JñS_03.03s-d
ūrdhvaṃ ca tu vinduṃ nyāset | JñS_18.09s-b
ūrdhvaṃ caiva binduṃ nyaset | GpT_36s-b
ūrdhvaṃ bisaṃ pramāṇena | MJ_32s-a
ūrdhvavindur ato jñeyo | JñS_09.04s-c
ūrdhvātyūrdhvāntare saṃstho | JñS_12.13s-c
ūrdhvātyūrdhvo 'tiśūnyakaḥ | GpT_53s-d
ṛṣiryo jñāne cittakaḥ | MJ_53s-b
ṛṣīṇāṃ divi devatā | GpT_16s-b
ṛṣīṇāṃ divi devatā | JñS_16.07s-b
ṛṣīṇāṃ divi devatā | MJ_26s-b
ekadhā niṣkalo vinduḥ | JñS_09.02s-c
ekaviṃśatikaṃ devi | JñS_26.04s-a
ekas tvaṃ śṛṇu putraka | MJ_77s-b
ekā bhāryyā trayaḥ putrā | MJ_04s-a
ekātmā eva śūnyatā | JñS_14.01s-d
ekīkṛtaḥ sthitaḥ sadā | JñS_17.02s-d
etat te maṅgalaṃ dadmaḥ | MJ_85s-d
etad akāramātrakam | JñS_11.02s-d
etad ukāralakṣaṇam | JñS_11.07s-d
etad brahmākṣaraṃ piṇḍaṃ | GpT_36s-c
etad brahmākṣaraṃ piṇḍaṃ | JñS_18.09s-c
etad makāralakṣaṇaṃ | JñS_11.14s-b
etad makāralakṣaṇam | JñS_11.19s-d
evaṃ jñānaṃ mahādevi | JñS_27.08s-a
evam akṣaravinyastaṃ | JñS_26.17s-a
evam akṣarasiddhāntaṃ | JñS_26.10s-a
evam etāni sarvāṇi | JñS_27.07s-c
evam etāni sūktāni | JñS_27.07s-a
eṣa devo dahaty agniḥ | VpT_65s-a
eṣo byānas tu sarvadā | JñS_12.24s-d
aikātmya eva śūnyatā | GpT_02s-d
airāvatī nadīśreṣṭhā | JñS_24.01s-c
aiśvaryeṇāpratihataḥ | VpT_32s-a
okāraś ca nigadyate | GpT_35s-d
okārākṣaro mūrtimān | JñS_10.13s-d
*okāre līyata ukāro | GpT_51s-a
oṃkāra iti kathyate | JñS_11.24s-d
oṃkāraṃ ca nigadyate | JñS_18.08s-d
oṃkāraṃ tryakṣaraṃ tyajet | JñS_08.09s-b
oṃkāraṃ samudāhṛtam | GpT_15s-b
oṃkāraṃ hṛdaye sthāpya | GpT_07s-a
oṃkāraṃ hṛdaye sthāpya | JñS_15.05s-a
oṅkāraṃ hṛdaye sthāpya | VpT_57s-a
oṃkāraḥ kīrtitaḥ sadā | GpT_26s-d
oṅkāraḥ paramaṃ sūkṣmaṃ | MJ_66s-c
oṃkāraḥ pāvakaḥ smṛtaḥ | MJ_11s-b
oṅkāraḥ saṃdhṛto yasmād | VpT_57s-c
oṃkāraḥ samudāḥṛtaḥ | JñS_16.06s-b
oṅkāraḥ samudāhṛtaḥ | MJ_25s-b
oṃkāram iti tad viduḥ | JñS_18.05s-d
oṃkāram iti tad viduḥ | GpT_32s-d
oṃkāraś ca nigadyate | JñS_11.20s-d
oṅkāraś ca viśiṣyate | MJ_66s-b
oṃkāraś caiva dvimātras | JñS_11.20s-a
oṅkāras tūryyam eva ca | MJ_70s-d
oṅkārasya parigrahaḥ | MJ_71s-b
oṅkārāgnipradagdhātmā | MJ_65s-a
oṅkārāgnau tāni dagdhvā | MJ_76s-c
oṅkāro garuḍo jñātvā | MJ_64s-c
oṃkāro dvividhaḥ smṛtaḥ | JñS_11.21s-b
oṅkāro hi nauś cocyate | MJ_74s-b
ṃṛtyuñjayasya devasya | GpT_56s-a
ka ākāśaś ca kiṃ puṣpaṃ | MJ_10s-a
kakāraḥ sakāras tathā | JñS_12.08s-b
kaṇṭhamūle sthitā gaṅgā | JñS_24.04s-c
kaṇṭhasthaḥ śvetavarṇakaḥ | JñS_10.12s-b
kaṇṭhe tūryyam ihocyate | MJ_41s-d
kaṇṭhe vyāpī vakṣas tathā | JñS_12.17s-b
kathaṃ jñeyaḥ si to stha ti | MJ_60s-d
kathitaṃ ca manīṣinā | JñS_18.09s-d
kathyate nirmalaḥ śivaḥ | GpT_43s-d
kamalaṃ ca praṇālaṃ ca | GpT_18s-a
kamalaṃ ca praṇālaṃ ca | JñS_16.09s-a
kamalaṃ ca praṇālaṃ ca | MJ_56s-a
kamalaṃ yaddhṛdi mūle | MJ_20s-a
kamalānte ca hṛdmūle | JñS_16.01s-a
karaṇam indhanaṃ tathā | JñS_10.02s-b
karṇākṣanāsayoḥ sthāpyo | JñS_12.15s-c
karmaphalasya tattvaṃ yat | VpT_03s-b
kalākūtāntakālakaḥ | JñS_09.07s-b
kalis tūryyam ity ucyate | MJ_40s-d
kalpyate nirmalaḥ śivaḥ | JñS_19.05s-b
kā nadī ko hi pāvakaḥ | MJ_10s-b
kā rātriḥ ko ravis tathā | MJ_10s-d
kākarūpas tu sācāraḥ | JñS_23.02s-c
kākahaṃsaḥ svarūpeṇa | JñS_23.01s-c
kāmaṃ krodhaṃ ca lobhaṃ ca | MJ_76s-a
kāmarūpitvam eva ca | JñS_11.05s-b
kāmbalanta ca hṛnmule | GpT_10s-a
kāyena manasā śubhaṃ | MJ_01s-c
kāladṛṅga dṛṅgīpatyam | GpT_58s-b
kālā vikiraṇī tathā | JñS_12.04s-b
kiṃ tapovratam uttamam | VpT_51s-b
kiṃ nu gataṃ daśadiśi | MJ_02s-c
kiṃ nu jarati jīryyati | MJ_02s-d
kiṃ nu jāgarti jāgrate | MJ_02s-b
kiṃ nu suptaṃ śarīre 'smin | MJ_02s-a
kiṃ punar vayasā vṛddha | JñS_27.03s-a
kiṃ mārgasādhanaṃ jñānaṃ | VpT_51s-a
kiḥkāre ca mahāteja | GpT_54s-c
kiñcit phalam avāpnuyuḥ | JñS_16.08s-d
kiñcit phalam avāpnuyuḥ | GpT_17s-d
*kim ādyaṃ so mṛtyuḥ kim ataḥ bhasmāyam | JñS_25.21s-a
*kim udakaiḥ sthalaiḥ anyaiḥ sūryam | JñS_25.21s-b
kim uragabhujaṅgavyāghrajananaiḥ yāvad | JñS_25.21s-c
kuṅkārākṣaravinduṣṭhaḥ | JñS_12.20s-a
kuṭumbaloke bahuputradhanyam | JñS_22.02s-c
kuryāt paramapaṇḍitaḥ | JñS_01.01s-d
kuryāt paramapaṇḍitaḥ | GpT_50s-d
kūrma unmīlane sthitaḥ | VpT_46s-b
kūrmāras tāluke saṃsthaḥ | JñS_12.26s-a
kūrmmapṛṣṭhāni kānyeva | MJ_10s-c
kṛkaraś ca kṣuty eva hi | VpT_46s-c
kṛtamākāśamayatvaṃ | VpT_20s-c
kṛtayugaṃ jāgrat proktaṃ | MJ_40s-a
kṛtāntād vacanāgamaḥ | VpT_26s-b
kṛtvā naimilyaṃ cakṣuṣaḥ | JñS_12.26s-b
kṛṣṇaṃ tu jalatattvaṃ hi | JñS_11.13s-a
kṛṣṇakaṃ jalam eva ca | JñS_25.13s-b
kṛṣṇāpuṣpadyate śivaḥ | MJ_85s-b
kailāśaśikhare ramye | VpT_01s-a
kaivalyaṃ kāñcanopamam | MJ_45s-b
kaivalyaṃ ca pāṇau sthitam | MJ_42s-b
kaivalyaṃ paraṃ kaivalyaṃ | MJ_39s-c
kaivalyasthaṃ paraṃbrahma | JñS_10.08s-c
kaivalyastho bhavākṣepo | JñS_10.15s-c
ko hy agnimayasaptacaḥ | VpT_23s-d
krūratvañ caiva darpitvaṃ | VpT_18s-a
krodhādau kevalaṃ saktam | VpT_23s-b
kṣitaḥ jalaṃ nabhaḥsthitaṃ sarvago 'nilaḥ | VpT_49s-b
kṣitam jalaṃ nabha ca savargo 'nilaḥ | JñS_25.05s-b
khagendravaravāhanaḥ | MJ_50s-d
gaṅgā caiva sarasvatī | JñS_24.01s-b
gaṅgomayoḥ siddhārthadaṃ | GpT_59s-a
gaṅgomayoḥ siddhārthadaḥ | GpT_01s-b
gajasyāptuṃ śarīrakam | VpT_04s-b
gaṇapaṭiṃ śivāputraṃ | GpT_57s-a
gaṇapatiḥ śivam pṛcchad | GpT_01s-a
gātraṃ vā sarvvaśāstrāṇāṃ | MJ_79s-a
gāndhārī hastijihvā ca | VpT_37s-c
gārhaspatyas tathā hṛdi | JñS_25.10s-b
guruṃ śuśrūṣeta sadā | MJ_78s-b
gurubhaktir vaśevacaḥ | GpT_42s-d
gurubhaktis tathaiva ca | JñS_19.04s-b
gurur vvāpi mahādeva | MJ_82s-c
guhāmanoramādīptā | JñS_11.09s-a
guhye 'py ūrudvayor vyāpī | JñS_12.21s-d
ghrātā ca rasayitā ca | VpT_63s-a
*ca sūkṣmaṃ sakalaniṣkalam | GpT_53s-b
cakṣuś ca vā ravis tathā | MJ_13s-b
cakṣuṣānāptasādṛśyam | VpT_04s-c
cañcalaṃ tu rajaḥ sthitam | VpT_15s-b
catuḥśaktiḥ sa paṇḍitaḥ | VpT_30s-b
caturtham atikṛṣṇāntaṃ | JñS_25.11s-c
caturdaśākṣaraiḥ puṣpair | GpT_24s-a
caturdaśākṣaraiḥ puṣpair | JñS_16.15s-a
caturdhā praṇavaḥ smṛtaḥ | JñS_12.01s-b
caturdhā sakalo 'paraḥ | JñS_09.02s-d
caturnāḍisamupeta | JñS_11.20s-c
caturnāḍīsamāśritam | JñS_12.02s-b
caturnāḍīsamupetaḥ | JñS_11.22s-a
caturnāḍīsamupetaḥ | JñS_12.03s-a
caturnāḍīsamupetaḥ | JñS_12.06s-c
caturvidhasya kāraṇam | JñS_08.02s-d
caturṣaṣṭhivibhāgas tu | JñS_12.17s-c
candrakāntasya raśmivat | MJ_81s-b
candravinduvirahitaṃ | JñS_08.09s-c
candraś ca līyate bindau | GpT_27s-b
candraś cātmani saṃlīno | JñS_18.03s-c
candrātmanor dvayor yogād | JñS_18.04s-a
candrātmanor dvayor yogo | GpT_31s-a
candrād viśvaḥ punaḥ punaḥ | JñS_17.01s-d
candrād viśvaḥ punaḥ punaḥ | GpT_25s-d
candrārdhākṣaro mūrtimān | JñS_10.14s-d
candre pralīyate viśvo | JñS_17.03s-a
candreṇa sahito viśvo | GpT_26s-a
candreṇa sahito viśvo | JñS_17.02s-a
carnaṃ tu saptadhā smṛtam | JñS_10.09s-d
cittatyaktātiśūnyatā | JñS_08.03s-d
cittapāpasya jāyate | VpT_16s-c
cittabuddhimanaḥ tyaktvā | JñS_08.09s-a
cittam ākāśavac chuddhaṃ | GpT_08s-a
cittam ākāśavac chuddhaṃ | JñS_15.06s-a
cittasaṃsthā suṣaṃsthā ca | JñS_11.17s-c
cittasya hy anubhāvataḥ | VpT_16s-d
cetanam acetanañ ca | VpT_06s-b
caittatattvaḥ sadāśivaḥ | VpT_11s-b
cordhvāḥ dvādaśavindavaḥ | JñS_12.16s-d
chāyena daśarśanaṃ tasmin | MJ_55s-c
chivaliṅgaṃ mahottamam | MJ_25s-d
jaḥkāre pṛthivī jñeyā | GpT_54s-a
jagat bhramitacakravat | TJ_27s-d
jagad bhramita cakravat | VpT_34s-d
jaṭhare dakṣināgniś ca | JñS_25.10s-c
jaṭhare sarvabhakṣyāni | JñS_25.07s-c
janalokaś ca vāmake | JñS_26.07s-b
jayanti lābhānugraham | GpT_59s-d
jāgrac cāśvamedhayajño | MJ_48s-a
jāgratsvapnasuṣuptakam | MJ_81s-d
jāgratsvapnau ca vijñeyau | MJ_39s-a
jāgratsvapnau tathaiva ca | MJ_34s-b
jāgrad vaṃśantarītyuktaṃ | MJ_49s-a
jāgradbhoktā jagatkartā | JñS_10.10s-c
jāgrasvapnasuṣuptāni | JñS_10.08s-a
jīvaḥ śakaṭasyāntare | MJ_16s-d
jīvo ca mṛtyuś ca tathā | JñS_12.24s-b
jīhva śasvatā dṛśyante | JñS_12.22s-c
jīhvāgre ca sthitaḥ sadā | JñS_12.15s-d
jīhvātīrtha sarasvatī | JñS_24.04s-d
jñātavyaṃ mokṣam icchataḥ | JñS_20.04s-d
jñātavyo mokṣaś ca tataḥ | GpT_48s-d
jñānaṃ bhasmam ihocyate | JñS_25.12s-b
jñānaṃ saṃkṣepato hy atra | MJ_87s-a
jñānatrayaṃ suṣuptaṃ ca | JñS_20.02s-c
jñānatrayaṃ suṣuptaye | GpT_46s-c
jñānanī matanī caiva | JñS_11.23s-a
jñānam api na vindeta | JñS_27.05s-c
jñānam etan mahāguhyaṃ | MJ_87s-c
jñānasandhiś ca procyate | MJ_87s-b
jñānābhyudrekato mokṣa | VpT_52s-a
jñāne tiṣṭhati nityaśaḥ | MJ_60s-b
jñeya eko mahāvinduḥ | JñS_09.01s-a
jyotiḥprabhena sannibhaḥ | JñS_12.16s-b
jyotiś cakraṃ vaṣatkāraḥ | JñS_12.19s-b
jyotiṣā kraman nāsāgre | JñS_12.18s-a
taḥkāra āpah saṃsthitāḥ | GpT_54s-b
takāraś ca sire jñeyaḥ | JñS_26.09s-c
tat tyaktvā sahasaiva tu | VpT_68s-b
tat tryakṣaraṃ pade yuktam | JñS_16.06s-a
tat tryakṣarapadair yuktam | GpT_15s-a
tat pītaṃ tejastattvaṃ hi | JñS_11.19s-c
tat samyagjñānam uttamam | VpT_26s-d
tato jñeyaḥ śivaḥ smṛtaḥ | GpT_22s-d
tato līnaṃ śivātmakaṃ | JñS_15.05s-b
tattasyānugrahaparaḥ | VpT_12s-b
tattṛṣṇā ghrāṇavartinī | JñS_11.15s-b
tattvaṃ nirvvāṇaprāpakam | MJ_66s-d
tattvaṃ paramam uttamam | JñS_12.06s-b
tattvanāḍīpradhānakaḥ | JñS_12.21s-b
tattvalīne śivātmakam | GpT_07s-b
tattvalīne śivātmakam | VpT_57s-b
tattvavijñānavit tathā | VpT_50s-b
tatra citte maheśvaram | MJ_57s-d
tatra cintyo maheśvaraḥ | JñS_16.10s-d
tatra cintyo maheśvaraḥ | GpT_19s-d
tatra tatraiva nirmalam | JñS_25.04s-d
tatra tatsvecchavāsitam | VpT_69s-b
tatra sāre dhṛtaṃ guhyaṃ | MJ_79s-c
tatra sthāpyo maheśvaraḥ | JñS_16.09s-d
tatra sthāpyo maheśvaraḥ | GpT_18s-d
tatra sthāpyo maheśvaraḥ | MJ_56s-d
tathā jñeyaḥ śivaḥ smṛtaḥ | JñS_16.13s-d
tathā bāhye jagati tan nopalabhyate | VpT_49s-d
tathā rudrādhidevataḥ | JñS_11.19s-b
tathāstheyam atha tūryyaṃ | MJ_81s-c
tathaiva calananāḍī | GpT_46s-b
tathaiva calananāḍī | JñS_20.02s-b
tathaiva pañcaviṃśakaḥ | JñS_11.20s-b
tathaiva sarvagaṃ ca nopalabhyate | JñS_25.05s-c
tad idaṃ janmarahasyam | GpT_41s-c
