aṃśaṃ śūdrāsuto haret | Manu_9.151d
akṣatāyāṃ kṣatāyāṃ vā | YajñS_2.130a
akṣatālūṣake śroṇī | YajñS_3.87c
akṣato brāhmaṇo vrajet | Manu_8.124d
akṣabhaṅge ca yānasya | Manu_8.291c
akṣamālā vasiṣṭhena | Manu_9.23a
akṣayaṃ parikīrtitam | ViS_49.10b
akṣayāṃl labhate lokān | ParS_3.31c
akṣayāyopakalpate | Manu_3.202d
akṣayodakamityapi | Ang_1.887d
akṣayo 'yaṃ nidhī rājñāṃ | YajñS_1.315c
akṣayyā nātra saṃśayaḥ | YajñS_3.331d
akṣayyā vṛddhir eteṣāṃ | NarS_v1.94c
akṣayyodakam eva ca | YajñS_1.243d
akṣaraṃ tv akṣaraṃ jñeyaṃ | ViS_55.18c
akṣaraṃ duṣkaraṃ jñeyaṃ | Manu_2.84c
akṣarāṇāṃ vihanyate | BrhS_1.6.46b
akṣavardhraśalākādyair | NarS_v17.1a
akṣāralavaṇaṃ rūkṣaṃ | Ang_2.11.1c
akṣāralavaṇaṃ mitam | Manu_11.109b
akṣāralavaṇānnāḥ syur | Manu_5.73a
akṣikarṇacatuṣkaṃ ca | YajñS_3.99a
akṣiṇvan nyāsadhāriṇam | Manu_8.196d
akṣiṇvan yogatas tanum | Manu_2.100d
akṣudro 'paruṣas tathā | YajñS_1.310b
akṣeṇa śaṣpairmantrairvā | Ang_1.630c
akṣetre bījam utsṛṣṭam | Manu_10.71a
aksāralavaṇaṃ caiva | Manu_3.257c
agamyāgamanīyaṃ tu | Manu_11.169c
agamyā gamane caiva | ParS_10.1c
agamyāgamane vipro | YamS-99v_30a
agamyāgāminaḥ śāsti | NarS_v12.76a
agarīyasi vā punaḥ | NarS_p19.42b
agastyo hy ācarat purā | Manu_5.22d
agāradāhī garadaḥ | Manu_3.158a
agāram upasaṃvrajet | Manu_6.51d
agārād abhiniṣkrāntaḥ | Manu_6.41a
aguptam aṅgasarvasvair | Manu_8.374c
agupte kṣatriyāvaiśye | Manu_8.385a
aguruḥ kṣatriyāṇāṃ tu | Ang_2.5.9a
agṛhītaṃ pradāsyati | Kāty_184b
agṛhīte samaṃ dāpyaḥ | YajñS_2.292c
agṛhīte samaṃ dāpyo | Brh_1.16.6c
agṛhīte samaṃ dāpyo | YajñS_2.193c
agnayeti ca tatparam | Ang_1.810d
agniṃ vāhārayed enam | Manu_8.114a
agnikāryaṃ tataḥ kuryāt | YajñS_1.25c
agnikāryāt paribhraṣṭāḥ | ParS_12.32a
agnicit kapilā satrī | ParS_12.47a
agnijihvo darbharomā | ViS_1.3c
agnituṇḍair bhakṣyamāṇā | ViS_43.34c
agnidagdhānagnidagdhān | Manu_3.199a
agnidānāṃ ca ye lokā | YajñS_2.74a
agnidān bhaktadāṃś caiva | Manu_9.278a
agnidhāmā dharānātho | Ang_1.518a
agninā copacūlanam | ParS_5.6d
agninā dagdham eva vā | Manu_8.189b
agninā dahyamānāś ca | ViS_43.35a
agnipakvāśano vā syāt | Manu_6.17a
agniṃ prajāpatiṃ ceṣṭvā | BrhS_1.26.76a
agniṃ praviśya śudhyanti | YamS-99v_31c
agniṃ praviśya śudhyanti | YamS-s_1.25c
agnir āpaś ca vedāś ca | ParS_12.21a
agnir āpas tathaiva ca | Manu_7.209mb
agnir jalaṃ vā śūdrasya | YajñS_2.98c
agnir mūrdhā divaḥ kakut | YajñS_1.300b
agnivarṇaṃ surāṃ pibet | ParS_12.76d
agnivarṇaṃ tu tac coro | BrhS_1.8.80c
agnivarṇaṃ nyaset piṇḍaṃ | YajñS_2.105c
agnivarṇāṃ surāṃ pibet | Manu_11.90b
agnivāyuravibhyas tu | Manu_1.23a
agnividyudvipannānāṃ | ParS_9.42c
agnivrataṃ vāmadevyaṃ bṛhac ca | ViS_56.27b
agniṣṭomaphalaṃ hi tat | ParS_6.52b
agniṣṭomādikān makhān | Manu_2.143b
agniṣvāttāṃś ca saumyāṃś ca | Manu_3.199c
agniṣvāttāś ca devānāṃ | Manu_3.195c
agnisaṃskaraṇe teṣāṃ | ParS_3.162c
agnihotraṃ yathāvidhi | Manu_6.9b
agnihotraṃ samādāya | Manu_6.4a
agnihotraṃ ca juhuyād | Manu_4.25a
agnihotraparāyaṇaḥ | Manu_4.10b
agnihotram upāsate | Manu_11.42b
agnihotrasvarūpiṇaḥ | Ang_1.301b
agnihotrī sa eva syād | Ang_1.625a
agnihotropakaraṇam | ParS_5.22a
agnihotry apavidhyāgnīn | Manu_11.41a
agnīṃś caivāvilambayan | YajñS_1.89d
agnīn ātmani vaitānān | Manu_6.25a
agnīn āropya cātmani | YajñS_3.56d
agnīndhanaṃ bhaikṣacaryām | Manu_2.108a
agnīn vāpy ātmasātkṛtvā | YajñS_3.54a
agneḥ paścimabhāge tu | BrhS_1.8.22c
agneḥ sakāśād viprāgnau | YajñS_1.316c
agneḥ somayamābhyāṃ ca | Manu_3.211a
agneḥ somasya caivādau | Manu_3.85a
agner indrasya somasya | NarS_v18.24c
agnermanve 'nuvākasya | Ang_1.767c
agner vidhiṃ pravakṣyāmi | BrhS_1.8.53a
agneś ca varuṇasya ca | Manu_7.4b
agnaukaraṇahome 'piṃ | Ang_1.1075c
agnau kariṣyann ādāya | YajñS_1.236a
agnau kuryād anujñāto | Manu_3.210c
agnau kuryānna laukike | Ang_1.399b
agnau prāstāhutiḥ samyag | Manu_3.76a
agnau suvarṇam akṣīṇaṃ | YajñS_2.178a
agnyagāre gavāṃ goṣṭhe | Ang_2.8.15c
agnyagāre gavāṃ goṣṭhe | Manu_4.58a
agnyabhāve tu viprasya | Manu_3.212a
agnyambusukṛtādibhiḥ | Kāty_237d
agnyambusukṛtādibhiḥ | NarS_v1.218d
agnyādibhirbhojanena | Ang_1.962c
agnyādheyaṃ pākayajñān | Manu_2.143a
agnyādheyasya dakṣiṇām | Manu_11.38b
agraṃ rājanya ucyate | Manu_11.83b
agrato vikiran bhuvi | Manu_3.244d
agrato vikiran bhuvi | ViS_81.22d
agraṃ navebhyaḥ sasyebhyo | NarS_v18.34a
agrānīkeṣu yojayet | Manu_7.193d
agrāhyābhedyamūrtīnāṃ | Ang_1.228a
agrāhyābhedyamūrtīnāṃ | Ang_1.231c
agre māhiṣakaṃ dṛṣṭvā | YamS-182v_3.16a
agre māhiṣikaṃ dṛṣṭvā | YamS-78v_35a
agryaḥ sarveṣu vedeṣu | YajñS_1.219a
agryāḥ sarveṣu vedeṣu | Manu_3.184a
agryo madhyo jaghanyaś ca | Manu_12.30c
aghaṃ sa kevalaṃ bhuṅkte | Manu_3.118a
aghaṃ sa kevalaṃ bhuṅkte | ViS_67.43a
aghamarṣaṇasūktaṃ vā | YamS-99v_32c
aghamarṣavidhānataḥ | Ang_1.176d
aghaśaṃsyātmavikretṛ | NarS_v1.165c
aṅkayitvā bhagāṅgena | BrhS_1.24.14c
aṅkito 'yaṃ prakīrtitaḥ | BrhS_1.7.18d
aṅgacchedārhakas tv ardhaṃ | BrhS_1.9.19c
aṅgacchedī viyojyaḥ syāt | Kāty_968c
aṅgacchede tadardhaṃ tu | BrhS_1.29.3c
aṅgacchede tad ardhaṃ tu | Kāty_964c
aṅgapratyaṅgasaṃpūrṇe | YamS-99v_44a
aṅgapratyaṅgasaṃpūrṇo | ParS_9.16c
aṅgam abrāhmaṇasya tu | YajñS_2.215b
aṅgaviddharmapāṭhakaḥ | Ang_2.5.1b
aṅgavid dharmapāṭhakaḥ | ParS_8.27b
aṅgaśuddhiś ca jāyate | ParS_3.3b
aṅgahīnādi janmanaḥ | YajñS_3.163d
aṅgād aṅgāt saṃbhavati | BrhS_1.26.127a
aṅgāni tattatkāleṣu | Ang_1.103a
aṅgāpakarṣaṇaṃ naiva | Ang_1.102a
aṅgāvapīḍanāyāṃ ca | Manu_8.287a
aṅgāvabhedane caiva | BrhS_1.21.15a
aṅgirā idamabravīt | Ang_2.1.1d
aṅgīkurmaśca sāṃpratam | Ang_1.578b
aṅgulānāṃ śatadvayam | NarS_p20.16b
aṅgulīgranthibhedasya | BrhS_1.22.9a
aṅgulīr granthibhedasya | Manu_9.277a
aṅgulīṣu daśaiva tu | ParS_5.16d
aṅgulyaṅguṣṭhayor vadhaḥ | NarS_p19.39b
aṅgulyāṃ yaḥ pavitrāṇi | YamS-182v_3.32a
aṅgulyor eva vā chedaṃ | Manu_8.370c
aṅguṣṭhamātraṃ sthūlaḥ syād | Ang_2.10.2a
aṅguṣṭhamātrasthūlas tu | ParS_9.10a
aṅguṣṭhamātrasthūlas tu | YamS-99v_41a
aṅguṣṭhamūlasya tale | Manu_2.59a
aṅguṣṭhāṅguliyogena | BrhS_1.8.72c
aṅguṣṭhārdhaṃ tu gomayam | ParS_11.30d
aṅgeṣu vyaktadeśeṣu | YamS-s_2.55a
aṅgairunmīlyate śanaiḥ | Ang_2.4.10b
aṅgair unmīlyate śanaiḥ | ParS_8.19b
acakṣurviṣayaṃ durgaṃ | Manu_4.77a
acañcalaṃ sthiraṃ tuṣṭaṃ | Ang_1.386c
acaraṃ caram eva ca | ViS_97.18b
acalo 'yaṃ sanātanaḥ | ViS_20.52d
acintyasyāprameyasya | Manu_1.3c
acirāt taṃ durātmānaṃ | Manu_8.174c
acirenaiva sīdati | Manu_7.134d
acūḍān naiśikī smṛtā | YajñS_3.23b
acodito hanti narastriyaṃ vā | YamS-s_1.50c
acorād dāpitaṃ dravyaṃ | Kāty_821a
acauraś cauratāṃ prāpto | NarS_m1.36c
acaure dāpite moṣaṃ | NarS_p19.27a
acchalenaiva cānvicchet | Manu_8.187a
acchidraṃ sadguṇaṃ sāṅgaṃ | Ang_1.904a
acchidram iti yad vākyaṃ | ParS_6.51c
acchedyo 'yam adāhyo 'yam | ViS_20.52a
achinnāgrāḥ śukatviṣaḥ | ParS_11.34d
ajaḥ śarīragrahaṇāt | YajñS_3.69c
ajaghanyo jaghanyajaḥ | BrhS_1.8.21d
ajaḍaś ced apogaṇḍo | NarS_v1.72a
ajaḍaś ced apogaṇḍo | Manu_8.148a
ajadantaṃ suśobhanaṃ | YamS-s_2.66b
ajaptvāgnim ahūya ca | ParS_12.44b
ajameṣāv anaḍvāhaṃ | Manu_11.136c
ajaśrīrajacarmākhyo | Ang_1.511c
ajātadantā ye bālā | ParS_3.14a
ajātaś cāsmi tatkāla | Kāty_169c
ajātaś cāsmi tatkāla | NarS_m2.5c
ajāteṣv eva sasyeṣu | Kāty_666a
ajātau jātikaraṇe | YajñS_2.246c
ajānan yastu vibrūyāj | Ang_2.6.13a
ajānānas tu lekhayet | NarS_v1.149d
ajānānāṃ ca dātḥṇām | Ang_2.6.14a
ajāvikaṃ saikaśaphaṃ | Manu_9.119a
ajāvikaṃ tu viṣamaṃ | Manu_9.119c
ajāvikavadhas tathā | Manu_11.68b
ajāvike tathāruddhe | NarS_v6.16a
ajāvike tu saṃruddhe | Manu_8.235a
ajāvike savatse tu | NarS_v11.28c
ajāviko māhiṣaś ca | YamS-182v_3.26a
ajāśṛṅganibhaṃ śyāmaṃ | Kāty_446a
ajāśvaṃ mukhato medhyaṃ | ViS_23.40a
ajāśvayor mukhaṃ medhyaṃ | YajñS_1.194a
ajinaṃ mekhalā daṇḍo | ParS_12.3a
ajihmaḥ krodhano 'riṣu | YajñS_1.334b
ajihmasyāśaṭhasya ca | Manu_3.246b
ajihmasyāśaṭhasya ca | ViS_81.24b
ajihmām aśaṭhāṃ tathā | YajñS_1.123d
ajihmām aśathāṃ śuddhāṃ | Manu_4.11c
ajīgartaḥ sutaṃ hantum | Manu_10.105a
ajīrṇaḥ syāttadā doṣaḥ | Ang_1.291a
ajīrṇavamane snānam | Ang_1.173a
ajīvaṃs tu yathoktena | Manu_10.81a
ajīvan hartum arhati | Manu_11.18d
ajekapād ajaikapād ahirbudhnyā | BrhS_1.8.23a
ajeyatvaṃ lokapaṅktiḥ | BrhS_1.1.50c
ajñaṃ hi bālam ity āhuḥ | Manu_2.153c
ajñātaṃ vidyate tvayā | NarS_p20.22d
ajñātagrāmatātādir | Ang_1.1050a
ajñātagrāmasaṃbhavaḥ | Ang_1.1051d
ajñātaṃ ca sadā śuci | YajñS_1.191d
ajñātaṃ caiva sūnāstham | Manu_11.155c
ajñātadoṣeṇoḍhā yā | NarS_v12.96a
ajñātapitṛko yaś ca | NarS_v13.17a
ajñātabhuktaśuddhyarthaṃ | Manu_5.21c
ajñātāṃś ca mṛgadvijān | Manu_5.17b
ajñātāṃś ca mṛgadvijān | YajñS_1.174d
ajñātārthe ca vastuni | Kāty_157b
ajñātiḥ śavadahakaḥ | BrhS_1.29.10d
ajñātena kṛtaṃ yadā | YamS-182v_5.10b
ajñātauṣadhimantras tu | BrhS_1.22.10a
ajñātvā dharmaśāstrāṇi | ParS_8.6a
ajñātvā dharmaśāstrāṇi | YamS-182v_4.29a
ajñātvā pūrvavṛttāntaṃ | Ang_1.354c
ajñānatimiropetān | BrhS_1.1.96c
ajñānanāśitaṃ caiva | Kāty_596c
ajñānabhuktaṃ tūttāryaṃ | Manu_11.160c
ajñānāc ca kṛtaṃ sarvaṃ | YamS-182v_5.12a
ajñānāc caikabhaktena tv | ParS_6.25c
ajñānāt kṛcchram uddiṣṭaṃ | YamS-182v_2.2c
ajñānāt kṛṣikartāro | ParS_8.3c
ajñānāt kṣetrikasya tu | Manu_8.243d
ajñānāt tu dvijaśreṣṭha | YamS-78v_78a
ajñānāt tu surāṃ pītvā | YajñS_3.255a
ajñānāt prāśya viṇmūtraṃ | Manu_11.150a
ajñānāt prāśya viṇmūtraṃ | ParS_12.2a
ajñānāt spṛśate yadi | ParS_12.55d
ajñānād avicakṣaṇaḥ | YamS-99v_65b
ajñānād āpadāpi vā | ParS_11.5b
ajñānādupadeṣṭavyaḥ | Ang_2.7.3c
ajñānād aindavaṃ smṛtaṃ | YamS-s_1.33d
ajñānād aindavadvayam | YamS-99v_28d
ajñānād aindavadvayam | YamS-99v_29d
ajñānād aindavadvayam | YamS-99v_34d
ajñānād aindavadvayam | YamS-s_1.14d
ajñānād dviśato damaḥ | Manu_8.264d
ajñānād dve śate pūrṇe | Manu_8.121c
ajñānād bālabhāvāc ca | Manu_8.118c
ajñānād brāhmaṇo bhuktvā | YamS-99v_26a
ajñānād bhuñjate dvijaḥ | ParS_11.10b
ajñānād bhuñjate viprāḥ | ParS_11.16a
ajñānād yadi vā jñānāt | Manu_11.232a
ajñānād vāruṇīṃ pītvā | Manu_11.146a
ajñānināṃ jñānināṃ ca | Ang_1.14c
ajñānena tu yo gacchet | ParS_10.11a
ajñānoktau daṇḍayitvā | Kāty_741c
ajñebhyo granthinaḥ śreṣṭhā | Manu_12.103a
ajño bhavati vai bālaḥ | Manu_2.153a
ajñau dātṛpratīcchakau | Manu_4.194d
ajyeṣṭhavṛttir yas tu syāt | Manu_9.110c
aṭan dhāvan khalan bhraman | Ang_1.463d
aṇīyāṃsam aṇor api | Manu_12.122b
aṇḍājāḥ pakṣiṇaḥ sarpā | Manu_1.44a
aṇvyo mātrā vināśinyo | Manu_1.27a
ata ūrdhvaṃ rajasvalā | ParS_7.5b
ata ūrdhvaṃ rajasvalā | YamS-182v_3.21d
ata ūrdhvaṃ rahasyānāṃ | Manu_11.247c
ata ūrdhvaṃ sakulyaḥ syād | Manu_9.187c
ata ūrdhvaṃ tu chandāṃsi | Manu_4.98a
ata ūrdhvaṃ tu yatsnātaḥ | Ang_2.9.13a
ata ūrdhvaṃ tu ye viprāḥ | Ang_2.4.8a
ata ūrdhvaṃ tu ye viprāḥ | ParS_8.15a
ata ūrdhvaṃ tu snātānāṃ | Ang_2.9.4a
ata ūrdhvaṃ trayo 'py ete | Manu_2.39a
ata ūrdhvaṃ trayo 'py ete | ViS_27.27a
ata ūrdhvaṃ trirātraṃ syād | ParS_12.53c
ata ūrdhvaṃ patanty ete | YajñS_1.38a
ata ūrdhvaṃ pravakṣyāmi | Ang_2.2.1a
ata ūrdhvaṃ pravakṣyāmi | Ang_2.12.1a
ata ūrdhvaṃ pravakṣyāmi | NarS_p20.15a
ata ūrdhvaṃ pravakṣyāmi | Manu_8.214c
ata ūrdhvaṃ pravakṣyāmi | Manu_8.218c
ata ūrdhvaṃ pravakṣyāmi | Manu_8.266c
ata ūrdhvaṃ pravakṣyāmi | Manu_8.278c
ata ūrdhvaṃ pravakṣyāmi | Manu_11.98c
ata ūrdhvaṃ prasūtiḥ syād | ParS_3.161c
ataḥ kriyā tadā proktā | Kāty_211c
ataḥ paraṃ gṛhasthasya | ParS_2.1a
ataḥ paraṃ pravakṣyāmi | NarS_p20.25a
ataḥ paraṃ pravakṣyāmi | NarS_p20.32a
ataḥ paraṃ pravakṣyāmi | NarS_p20.41a
ataḥ paraṃ pravakṣyāmi | Manu_9.56c
ataḥ paraṃ pravakṣyāmi | Manu_10.131c
ataḥ paraṃ pravakṣyāmi | ParS_6.1a
ataḥ paraṃ pravakṣyāmi | YamS-182v_5.1a
ataḥ parīkṣyam ubhayam | BrhS_1.6.57a
ataḥ parīkṣyam ubhayam | NarS_m1.61a
ataḥ putreṇa jātena | NarS_v1.06a
ataḥ putrena jātena | BrhS_1.10.116a
ataḥ pratyakṣamārgeṇa | NarS_m1.35c
ataḥ śuddhiṃ pravakṣyāmi | ParS_3.1a
ataḥ śṛṇudhvaṃ māṃsasya | YajñS_1.178c
ataḥ ṣaṭtriṃśatkasaṃkhyā | Ang_1.505c
ataḥ svalpīyasi dravye | Manu_11.8a
atathyaṃ śrāvitaṃ rājā | Kāty_778a
atathyaṃ tathyabhāvena | Kāty_295c
atapās tv anadhīyānaḥ | Manu_4.190a
ataś ca sutadārāṇāṃ | Kāty_641a
atastaddvividhaṃ smṛtam | Ang_1.680d
atas tu viparītasya | Manu_7.34a
atas tu viparītena | BrhS_1.26.35c
atas tv abhyeti tān eva | ViS_20.32c
atasmin tattvamāropya | Ang_1.123a
atikṛcchraḥ sa ucyate | ParS_11.55b
atikṛcchraṃ caran dvijaḥ | Manu_11.213d
atikṛcchraṃ ca rudhire | ParS_11.54a
atikṛcchraṃ nipātane | Manu_11.208b
atikṛcchraṃ nipātane | ViS_54.30b
atikṛcchre trayodaśa | ParS_9.25d
atikṛcchro nipātane | YajñS_3.292b
atikopaṃ vivarjayet | ParS_9.61d
atikramaṃ vratasyāhur | Manu_11.120c
atikramaṃ vratasyāhur | ViS_28.48c
atikrame 'payāte ca | Kāty_119a
atikrānte daśāhe ca | Manu_5.76a
atikrānte saptarātre | BrhS_1.2.4c
atikrānte saptarātre | Kāty_194c
atikrāman deśakālau | Manu_8.156c
atikrāmet pramattaṃ yā | Manu_9.78a
atikrauryaṃ kalāvapi | Ang_1.98b
atikṣudraikakāleṣu | Ang_1.213a
atikṣudhāturo rogī | Ang_1.259c
aticāturyato 'tīva | Ang_1.582a
atituṣṭā mahātuṣṭāḥ | Ang_1.1088c
atitṛptyaikakārakaḥ | Ang_1.615d
atithiṃ yan na bhojayet | Manu_3.106b
atithiṃ śrotriyaṃ tṛptam | YajñS_1.113a
atithiṃ cānanujñāpya | Manu_4.122a
atithitvena varṇānāṃ | YajñS_1.107a
atithiṃ taṃ vijānīyān | ParS_1.41c
atithiṃ tatra saṃprāptaṃ | ParS_1.43a
atithibhyo 'gra evaitān | Manu_3.114c
atithibhyo 'gra evaitān | ViS_67.39c
atithiṃ pūrvam āśayet | Manu_3.94b
atithir brāhmaṇaḥ smṛtaḥ | Manu_3.102b
atithir brāhmaṇaḥ smṛtaḥ | ViS_67.34b
atithir yasya bhagnāśas | ParS_1.46c
atithir yasya bhagnāśo | ParS_1.45a
atithir yasya bhagnāśo | ViS_67.33a
atithis tv indralokeśo | Manu_4.182c
atithīṃś ca labhemahi | ViS_73.30b
atithau taddinabhrāntyā | Ang_1.948a
atidāhe caret pādaṃ | ParS_9.29a
atidāhe 'tivāhe ca | ParS_9.28a
atiduḥkhaikajīvitam | Ang_1.1056b
atipātakinas tv ete | ViS_34.2a
atipraśasyaṃ covāca | Ang_1.590c
atiprasaktiṃ caiteṣāṃ | Manu_4.16c
atibālye tato bhūyo | Ang_1.1056c
atimānād atikrodhāt | ParS_4.1a
atimāninamagrāhyaṃ | Ang_1.746c
ativādāṃs titikṣeta | Manu_6.47a
ativṛṣṭihatānāṃ ca | ParS_9.43c
atiśuddhamatiśreṣṭhaṃ | Ang_1.243c
atisāhasam ākramya | NarS_v14.11c
atiharṣaṃ gatāḥ sadyas | Ang_1.564c
atītānāṃ ca sarveṣāṃ | Manu_7.178c
atītāyām aprajasi | YajñS_2.144c
atītārthasmṛtiḥ kasya | YajñS_3.150c
atīte kāryaśeṣajñaḥ | Manu_7.179c
atīte kṣapaṇaṃ smṛtam | Manu_5.71b
atīto yadi pakṣaḥ sa | Ang_1.712c
atītyāprāpya tatkālaṃ | Ang_1.643c
atīndriya suduṣpāra | ViS_1.51a
atuṣṭikaram eva ca | Manu_4.217d
atṛptā eva no te syur | Ang_1.1093a
ataijasāni pātrāṇi | Manu_6.53a
ato na roditavyaṃ hi | ViS_20.30c
ato na roditavyaṃ hi | YajñS_3.11c
ato nānyena hīyate | Kāty_306d
ato 'nyagamane strīṇām | NarS_v12.102c
ato 'nyatamam āsthāya | Manu_11.86a
ato 'nyatamayā vṛttyā | Manu_4.13a
ato 'nyathāṃśabhājo hi | NarS_v13.23c
ato 'nyathā kleśabhāk syān | NarS_v11.19a
ato 'nyathā tu praharan | Manu_8.300c
ato 'nyathā pravṛttis tu | Manu_5.31c
ato 'nyathā bhaved doṣas | ParS_6.56a
ato 'nyathā bhāvanīyāḥ | BrhS_1.5.24c
ato 'nyathā bhāvanīyāḥ | Kāty_383c
ato 'nyathā mahākṣāntyā | NarS_m2.10c
ato 'nyathā vartamānaḥ | NarS_v12.88a
ato 'nyathā vartamāno | Manu_8.397c
ato 'nyeṣu vivādeṣu | Kāty_405c
ato 'nyeṣu sabhāmadhye | Kāty_435c
ato 'nyair yat kṛtaṃ kāryam | Kāty_068a
ato 'patyaṃ dvayor iṣṭaṃ | NarS_v12.59c
ato 'pravṛtte rajasi | NarS_v12.27a
ato bālatarasyāpi | YamS-78v_16a
ato bālatarasyāpi | YamS-182v_3.2a
ato bālatarasyāsya | YamS-s_1.21a
ato yateta tatprāptyai | YajñS_1.352c
ato yad anyad vibrūyur | Kāty_393c
ato yad anyad vibrūyur | Manu_8.78c
ato yad ātmano 'pathyaṃ | YajñS_3.65c
ato 'rthān na pramādyanti | Manu_2.213c
ato 'rvākpaṇyadoṣas tu | Kāty_695a
ato 'rvāk puṇyadoṣas tu | BrhS_1.18.7a
atyakramaṃ cātyaśāstraṃ | Ang_1.98c
atyantaṃ śrīr niṣevate | Kāty_003d
atyantacapalaṃ śrāntam | Ang_1.756a
atyantatṛptimuktyaika | Ang_1.477c
atyantapitṛtṛptyaika | Ang_1.603a
atyantāvaśyako na syād | Ang_1.636a
atyantaikapavitrā hi | Ang_1.910a
atyantopahatāt tathā | ViS_23.44b
atyantopahatānāṃ ca | ViS_23.42c
